key,fr,en
FA_BEACH,Plage,Beach
FA_COAST,Côte,Coast
FA_REEF,Récifs,Reefs
FA_DEEP,Grand large,Off shore
FA_OCEAN,Océan,Ocean
FA_GROUND,Sol,Ground
FA_ROCKS,Rochers,Rocks
FA_REEF_CAVES,Récifs et grottes,Reefs and caves
FA_PINE,Pin,Pine
FA_TRUNK,Tronc,Trunk
FA_OAK_FOLIAGE,Chêne feuillage,Oak foliage
FA_HIVE,Ruche,Hive
FA_CAVE_LAKE,Lac souterrain,Cave lake
FA_FLOWERS,Hautes herbes,High grass
,,
B_SIMPLE_NAME,Casier,Basket
B_SIMPLE_DESCR,Un casier simple pour attraper des poissons communs,A simple basket to catch common fishes
,,
B_MEDIUM_NAME,Casier moyen,Medium basket
B_MEDIUM_DESCR,Plus large que le casier simple. Permet d’attraper des poissons peu communs,Larger than simple basket. Allows to catch uncommon fishes
